Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,57.146893,59.086628,49.161961,58.945385,51.649830,72528548
2016-02-01,58.220341,61.996235,51.883240,61.308849,53.720779,75456478
2016-03-01,61.657249,63.182674,60.018833,60.979282,53.432003,53394067
2016-04-01,60.828625,61.676083,57.721279,59.369114,52.312923,36598114
2016-05-01,58.841808,62.438793,56.016949,58.681732,51.707241,62276954
2016-06-01,58.370998,61.468925,54.406780,57.900188,51.018585,59600714
2016-07-01,58.107346,61.440678,56.873821,58.785313,52.105255,48705018
2016-08-01,58.436913,61.393597,55.282486,58.427494,51.788094,48910195
2016-09-01,57.758945,57.984936,51.977402,52.777779,46.780392,76899738
2016-10-01,52.683617,53.182674,48.738232,51.045197,45.526466,71729179
2016-11-01,51.111111,54.943504,49.595104,51.327682,45.778404,63659041
2016-12-01,51.676083,54.453861,50.000000,50.235405,44.804234,65509045
2017-01-01,50.499058,51.064030,46.751411,48.474575,43.556694,80333394
2017-02-01,47.787193,50.800377,45.244820,49.387947,44.377396,103708232
2017-03-01,49.604519,52.984936,49.133709,51.760830,46.509552,97513160
2017-04-01,51.939735,54.623352,50.489643,51.440678,46.593777,71855768
2017-05-01,51.421844,52.532955,48.229755,50.659134,45.885872,77009975
2017-06-01,50.809792,54.783428,50.160076,54.237289,49.126884,61420452
2017-07-01,54.077213,58.568737,52.269302,58.559322,53.459652,57526521
2017-08-01,58.408665,60.499058,56.506592,59.199623,54.044182,51134025
2017-09-01,59.322033,60.743877,57.966103,59.858757,54.645916,45058323
2017-10-01,59.830509,67.749527,59.161961,65.583801,60.271858,61025812
2017-11-01,65.602638,70.499062,64.359695,68.700562,63.136177,44357723
2017-12-01,68.691147,70.856873,66.233521,69.679848,64.036156,46344831
2018-01-01,70.075333,78.107346,69.397362,76.403015,70.668282,51924683
2018-02-01,75.677963,79.453857,68.276833,70.216576,64.946198,72768662
2018-03-01,70.141243,72.080978,67.871941,69.792847,64.554283,60497466
2018-04-01,69.538605,77.146896,68.041428,76.148773,70.876701,44039122
2018-05-01,75.677963,78.088509,69.585686,76.421844,71.130867,52403751
2018-06-01,76.807907,80.178909,76.007530,76.760826,71.446381,44007369
2018-07-01,76.073448,88.954803,75.762711,86.694916,81.136337,48751533
2018-08-01,85.913368,91.337097,85.517891,86.751411,81.189194,54390966
2018-09-01,86.506592,88.615822,84.077209,87.994347,82.352440,44296127
2018-10-01,88.295670,88.954803,71.016953,78.041428,73.407562,78682942
2018-11-01,77.900185,81.760826,73.239174,76.544258,71.999290,46562647
2018-12-01,77.580040,78.775894,63.258003,67.175140,63.186478,52754321
2019-01-01,65.875710,80.037666,65.037666,79.256119,75.028740,62970227
2019-02-01,79.274956,82.815445,78.239174,82.259888,77.872292,37543929
2019-03-01,83.126175,83.644066,77.937851,81.836159,77.471169,36966839
2019-04-01,82.514122,90.583801,81.261772,88.898308,84.662231,44306214
2019-05-01,88.870056,89.849342,80.470810,81.879997,77.978340,48740091
2019-06-01,81.849998,89.279999,81.550003,87.349998,83.187691,34721600
2019-07-01,88.370003,91.540001,86.190002,87.389999,83.731384,34647000
2019-08-01,87.500000,87.620003,76.769997,81.949997,78.519135,34772300
2019-09-01,81.309998,91.360001,80.250000,88.989998,85.264404,33854700
2019-10-01,89.059998,93.879997,81.080002,82.290001,79.233788,48191200
2019-11-01,83.110001,89.279999,82.650002,88.540001,85.251671,40301500
2019-12-01,88.839996,100.230003,85.489998,99.660004,95.958679,39895100
2020-01-01,99.669998,100.250000,82.239998,82.970001,80.314896,68003200
2020-02-01,83.300003,85.330002,70.000000,72.000000,69.695946,55923300
2020-03-01,72.500000,76.139999,45.070000,54.080002,52.349400,85616400
2020-04-01,51.119999,63.240002,47.799999,58.099998,56.628342,59996300
2020-05-01,56.560001,63.299999,50.720001,56.099998,54.679005,60450200
2020-06-01,56.180000,71.250000,55.849998,60.939999,59.396408,82873500
2020-07-01,61.209999,63.599998,57.910000,60.360001,59.248898,43369800
2020-08-01,60.330002,68.209999,57.590000,65.750000,64.539680,41051200
2020-09-01,65.250000,77.300003,65.050003,70.250000,68.956848,51175000
2020-10-01,70.820000,79.000000,66.260002,67.199997,66.429291,48584600
2020-11-01,68.639999,89.260002,67.620003,83.400002,82.443497,48420800
2020-12-01,84.980003,89.639999,82.620003,85.410004,84.430450,42670000
2021-01-01,86.580002,89.680000,76.419998,76.870003,76.407837,53101900
